iter	Logloss
0	0.6816066255
1	0.6735938932
2	0.6648081714
3	0.6558712885
4	0.6486393672
5	0.6406868117
6	0.6338419609
7	0.6280034069
8	0.6225770686
9	0.6181122032
10	0.6165208602
11	0.61172453112	0.6056808312
13	0.6021743607
14	0.5983257002
15	0.5950726172
16	0.5918642857
17	0.5884363684
18	0.5859706119
1919	0.5811213834
20	0.5774880186
21	0.5741338881
22	0.5713850002
23	0.5688975604
24	0.5664074824
25	0.5638536944
26	0.5614912054
27	0.5588563598
28	0.5568778929	0.5576510944
30	0.5554429893
331	0.5509319729
32	0.5491211765
33	0.5450390823
34	0.5423427147
35	0.5454572624
36	0.5434100902
37	0.5419192414
38	0.5399424422
39	0.5382286058
40	0.5353632061
41	0.5339529658
42	0.5323326425
43	0.5305604466
44	0.5288162344
45	0.5268931135
46	0.5251691326
47	0.5230224543
48	0.5217320695
49	0.519587956
50	0.5177580189
51	0.5168055216
52	0.5151341148
53	0.5133919752
54	0.512066621
55	0.5105519237
56	0.5090762049
57	0.5082660885
58	0.5063838063
59	0.5048806077
60	0.5037025119
61	0.5014743779
62	0.500400179
63	0.4981822679
64	0.4965259819
65	0.4946683901
66	0.4929549709
67	0.4915132998
68	0.4898124522
69	0.4886449385
70	0.48771	0.4871352373
72	0.4859373573
73	0.4846908341
74	0.4874	0.4828890629
75	0.4818528397
76	0.4802998818
77	0.4790750249
78	0.4780369674
79	0.4770063439
80	0.4756797959
81	0.4750174432
82	0.473888376
83	0.4726236613
84	0.47185	0.4713703017
86	0.46986	0.4692137672
87	0.4678986673
88	0.4668080593
89	0.4659724255
90	0.4650433014
91	0.4642551888
92	0.463182476
93	0.4622310648
94	0.4695	0.4594714464
96	0.4581833758
97	0.4573818086
98	0.4565439301
99	0.4549021298
100	0.45348287
101	0.4523150033
102	0.4509282695
103	0.4496087526
104	0.4488748973
105	0.447518829
106	0.4465250018
107	0.445443107	0.4478069784
108	0109	0.4424783619
110	0.4414835655
111	0.4406047653
112	0.43946112	0.4422455326
113	0.114	0.4375343032
115	0.43659115	0.4388274685
116	0.4377701825
117	0.4363441607
118	0.4356531174
119	0.4340699049
120	0.4323091129
121	0.4317733961
122	0.4309358569
123	0.4298561863
124	0.4288921104
125	0.4281638426
126	0.4268913974
127	0.4258235366
128	0129	0.4225659882
130	0.4216009952
131	0.420690699
132	0.4200546132	133	0.4186483133	0.4203685544
134	0.4191350214
135	0.4179561723
136	0.4168472214
137	0.4161696604
138	0.4152187054
139	0.4138584319
140	0.4126420775
141142	0.4099252257
143	0.4092743689
144	0.40826915144	0.4094127816
145	0.4085969418
146	0.4075545694
147	0.4068331491
148	0.4059419644
149	0.4050428996
150	0.4043038706
151	0.4035297154
152	0.4028863403
153	0.4017944722
154	0.4009552618
155	0.4000179623
156	0.3995136121
157	0.3986992417
158	0.3977332223
159	0.3972700923
160	0.3965260161162	0.3936796277
1162	0.3949390263
163	0.393923543
164	0.3935995592
166	0.389741503
167	0.3891443304
168	0.3878300954
169	0.3869251141
1169	0.3892091504171	0.3849587479
172	0.3839897474
173	0.3830671381
174	0.3824397207
175	0.3814960479
176	0.3807745295
177	0.3795552027
178	0.3791137062
178	0.381341986
179	0.3806147104
180	0.3796464298
181	0.3785610842
182	0.3779681192
183	0.3773190321
184	0.3765571817
185	0.3755635038
186	0.3748594263
187	0.3740030863
189	0.3704419396
190	0.3693198202
191	0.3681180812
192	0.3674429197
193	0.3666996761
194	0.3659777581
195	0.3649294496
196	0.3636557511
197	0.3625968494197	0.3647491181
198	0.3637235323
1200	0.3599704316
201	0.3591165606
202	0.3584648376
203	0.3577252582
204	0.3567816674
205	0.3558744424
206	0.3548013996
207	0.3536417609
208	0.3529131555
209	0.3520631929
210	0.3514035581
211	0.35039089742212	0.3497466019
213	0.3489149863
214	0.3480420515
215	0.3469731038
216	0.3460244266
217	0.345069139217	0.3471689466
218	0.3466514458
219	0.3458257836
220	0.3452117901
221	0.3443170993
222	0.3435962993
223	0.3429525432
224	0.3419590071
225	0.3411476021
226	0.3400705522
227	0.3395357692
228	0.3386938691
229	0.3379869114
230	0.3371670963
231	0.3362641004
232	0.3352732947
233	0.33463894
23235	0.3314599615
236	0.3307468571
237	0.330101978237	0.331766755
238	0.3308610069
239	0.3302929121
240	0.3297175044
241	0.3291850945
242	0.3284540886
243	0.3275653146
244	0.3268031546
245	0.3261207699
246	0.3252973413
247	0.3246411757
248	0.3238780712
249	0.3226491257
250	0.3219134104
251	0.321216353
252	0.3206247676
253	0.319559902
2255	0.3156461912
256	0.3149299182256	0.3174325177
2258	0.3133170015
259	0.3125940301
260	0.3121186645
261	0.3114927262
262	0.3105465558
263	0.3097206524
264	0.3090280385
265	0.30834551
266	0.307665431266	0.3101353054
267	0.3094591592
268	0.3091584354
269	0.3087713765
270	0.3078410214
271	0.3073549396
272	0.3066615761
273	0.3059711744
274	0.305462218
275	0.304601918
276277	0.3002592305
278	0.29951012278	0.3026074154
279	0.3020900274
280	0.3014013682
281	0.3005608016
282	0.3000210001
283	0.2991155402
284	0.2982214893
285	0.297723235
286	0.2970193919
287	0.2959903758
288	0.2953966746
289	0.2945711504
290	0.2938402547
291	0.2934542543
292	0.2931040911
293	0.2923078097
294	0.291520693
295	0.2906990764
296	0.2900144219
297	0.2891436947
298	0.288301072
299	0.2873991258
300	0.2866751944
301	0.2860320104
302	0.2853734021
303	0.2846429829
304	0.2838727955
305	0.2832396157
306	0.2826616354
307	0.2819224673
308	0.28149079
309	0.2809011682
310	0.2802173959
311	0.2793313386
312313	0.2760313392
314	0.2752889642
315	0.2746646202
316	0.274173908
317	0.2736916267
318	0.2729438454
319	0.2723449966
320	0.2718163825
321	0.2711358334
322	0.2705506857
323	0.2698058551
324	0.26925353
325	0.268681325	0.2762753347
326	0.2757708685
327	0328	0.266885328	0.2747344737
329	0.2740515212
330	0.2737135633
331	0.2730136311
332	0.2724611756
333	0.2718410732
334	0.2711261949
335	0.2705764709
336	0.2699976109
337	0.2696785492
338	0.2692517488
339	0.2688494688
340	0.2684056029
341	0.267843242
342	0343	0.2589376272
344	0.258333534
345	0.2579158591
346	0.2574570813
347	0.2568250411
348	0.2563883701
349	0.2557679878
350	0.2553555463
351	0.2547717036
352	0.2541251569
353	0.2537171993
354	0.2532353136
355	0.2528227522
356	0.2522749778
357	0.2518785413
358	0.2512741639
359	0.250925436
360	0.2505699158
361	0.2500705113
362	0.2496699105
363	0.2491148586
364	0.2484639775
365	0.2481278726
366	0.2475071594
367	0.246967112
368	0.2463589819
369	0.2457888749
370	0.2453056227
371	0.2448007302
372	0.2444214514
373	0.243805314
374	0.243375427
375	0.2429126039
376	0.2425460285
377	0.2421407339
378	0.2417212006
379	0.2412330785
380	0.2409181065
381	0.2403128467
382	0.2397466412
383	0.2391624976
384	0.2386983899
385	0.2380381993
386	0.2374428609
387	0.2370966843
388	0.2366949516
389	0.2361499567
390	0.2355911318
391	0.2352059343
392	0.2347011024
393	0.2340185539
394	0.2334574686
395	0.2328733401
396	0.2324936273
397	0.2321963309
398	0.2315921339
399	0.2312164575
400	0.2308157262
401	0.2305586788
402	0.2301601022
403	0.2297097843
404	0.229224312
405	0.228976314
406	0.2283744397
407	0.2281440746
408	0.2278401768
409	0.2274447732
410	0.2268159565
411	0.2263365836
412	0.2258837889
413	0.2253768102
414	0.2249598488
415	0.2245430042
416	0.2241692782
417	0.2236905965
418	0.223221155
419	0.2229247384
420	0.2223213598
421	0.2219772863
422	0.2215101951
423	0.2209087304
424	0.2203908465
425	0.2199748099
426	0.2197105727
427	0.2193927351
428	0.2190090463
429	0.218432412
430	0.2181916487
431	0.2178719988
432	0.2173930453
433	0.2170245027
434	0.2165643752
435	0.2161081211
436	0.2155415922
437	0.2150759221
438	0.2147903125
439	0.2143917112
440	0.2140081693
441	0.2135014353
442	0.2131877117
443	0.2128895539
444	0.2125861369
445	0.2121867817
446	0.2119852811
447	0.2117259694
448	0.2111428244
449	0.2107881175
450	0.2104259437
451	0.2100324575
452	0.2097345502
453	0.2093002494
454	0.2088495556
455	0.2082869194
456	0.2078767518
457	0.2072722832
458	0.2067784315
459	0.2062754434
460	0.2057580096
461	0.2051900141
462	0.2049121637
463	0.2045464786
464	0.2039305003
465	0.2035726178
466	0.2033374562
467	0.2030740508
468	0.2027416702
469	0.2024014683
470	0.2020934221
471	0.201780303
472	0.201481753
473	0.2009267186
474	0.2005589131
475	0.2002628187
476	0.1997607419
477	0.1995133874
478	0.1991081471
