iter	Passed	Remaining
0	62	62290
1	65	32567
2	63	20952
3	69	17199
4	73	14552
5	75	12567
6	79	11217
7	81	10088
8	84	9291
9	86	8571010	88	7991111	93	7731
12	96	73013	101	7157
14	103	6825
15	109	616	116	120	6982
17	123	6733
18	125	6490
19	127	6271
20	1320	159	7458
21	163	22	170	723	123	173	724	124	1724	192	7509
25	26	206	7435
27	208	7245
28	228	240	8058
29	244	7912
30	246	731	231	2731	32	280	8232	33	314	8933	34	322	8894
35	324	8702
36	328	8562
37	331	8337	412	10451
38	415	10237
39	418	10054
41	416	9499
42	430	9579
43	433	9409
44	435	9241
45	437	9081
46	445	9035
47	465	9225
48	467	9079
49	510	9704
50	513	9548
51	515	9397
52	520	9292
52	558	9982
53	561	9829
54	555	589	9941
556	596	9862
57	598	9719
58	600	9580
59	613	59	667	10455
60	677	10426261	682	10363	62	684	1064	663	697	10194
64	699	10062
65	701	9932
66	710	9899
67	717	9840
68	725	97970	756	9896
71	758	9777
72	760	9662
73	763	974	819	10108
75	822	9996
76	837	10035
77	844	9984
78	846	9874
79	849	9766
80	851	9662
81	853	9559
82	886	9792
83	888	9691
84	891	9594
85	917	9753
86	924	9702
87	967	10021
88	969	9922
89	971	9824
90	977	9763
91	979	9670
9292	1009	9846
93	1011	9752
94	1014	9662
95	1017	9579
96	1022	97	1057	9737
98	1060	999	1123	10111
100	1135	10106
101	1137	10018
102	1140	9930
103	1142	9844
104	1144	9759
105	1174	9907
106	1187	9908
107	1189	9825
108	1191	9742
109	1194	9661
110	1206	9662
111	1222	9695
112	1225	9616
113	1227	9537
114	1229	9462
115	1266	9654
116	1269	9578
117	1271	9504
118	1276	9451
119	1279	9380
120	1281	9308
121	1283	9239121	1323	9522
122	1325	9450
123	1327	9380
124	1330	9310
1126	1372	9434
127	1392	9484
128	1448	9782
129	1451	9715
130	1460	9689
131	1462	9620
132	1481	9657
133	1492	9643
134	1495	9580
135	1538	9773
136	1543	9722
137	1571	9815
138	1588	9838
139	1593	9788
140	1604	9772
141	1606	9708
142	1609	9647
143	1612	9582
144	1614	9519
145	1621	9486
1146	1639	9512
147	1643	9463148	1667	9523
149	1669	9463
150	1672	9402
151	1674	9341
152	1678	9293
153	1703	9355
154	1705	9298
155	1707	9240
156	1741	9351
157	1744	9294
158	1746	9239
159	1749	9186
160	1760	9172
161	1762	9116
1162	1781	9149
163	1797	9161164	1831	9267
165	1833	9211
166	1835	9157
167	1838	9103
168	1840	9050
169	1846	9013
170	1848	8961
171	1871	9010
172	1874	89581173	1892	8984
174	1901	8962
175	1903	8911
176	1905	8860
1177	1919	88641178	1922	88161179	1924	8767180	1938	8772
181	1941	8724
182	1943	8677
183	1955	8670
184	2003	8828
185	2026	8867
186	2028	8819
187	2030	8772
188	2055	8819
189	2057	8772
190	2060	8725
191	2062	8679
192	2102	8792
193	2109	8765
194	2131	8801
195	2135	8758
196	2137	8712
197	2139	8666
198	2142	8623
199	2145	8581
200	2148	8539
201	2211	8735
202	2213	8691
203	2224	8680
204	2226	8636
205	2244	8651
206	2249	8619
207	2253	8580
208	2262	8562
209	2269	8536
210	2272	8496
211	2285	8495
212	2303	8509
213	2305	8468
214	2307	8426
215	2332	8466
216	2334	8424
217	2347	8419
218	2349	8378
219	2351	8338
220	2354	8297
221	2385	8361
222	2388	8320
223	2390	8281
224	2393	8243
225	2400	8222
226	2404	8189
227	2419	8192
228	2427	8173
229	2436	8156
230	2444	8138
231	2447	8100
232	2449	8063
233	2507	8208
234	2509	8170
235	2512	8132
236	2514	8095
237	2516	8057
238	2529	8053
239	2531	8016
240	2596	8177
241	2602	8152
242	2612	8137
243	2616	8105
244	2620	8074
245	2622	8038
246	2624	8002
247	2627	7967
248	2639	7961
249	2649	7947
250	2653	7919
251	2656	7884
252	2658	7849
253	2660	7814
254	2663	7780
255	2709	7874
256	2711	7840
257	2714	7806
258	2716	7772
259	2719	7739
260	2759	7812
261	2761	7778
262	2763	7744
263	2766	7711
264	2768	7678
265	2770	7646
266	2773	7613
267	2821	7705
268	2823	7672
269	2825	7640
270	2828	7607
271	2830	7575
272	2832	7543
273	2835	7512
274	2837	7480
275	2840	7451
276	2843	7421
277	2846	73912278	2850	73652279	2852	73342280	2855	73052281	2907	7401
282	2909	7371
283	2911	7340
284	2913	7310
285	2916	7281
286	2950	7330
287	2953	7302
288	2956	7272
289	2958	7243
290	2960	7213
291	2963	7184
292	2965	7155
293	2967	7126
294	2970	7097
295	2972	7069295	3043	7238
2297	3053	7194
298	3056	7165
299	3059	7138
300	3062	7111
301	3068	7091
302	3074	7073
303	3094	7084
304	3096	7056
305	3098	7028
306	3101	7000
307	3103	6972
308	3105	6945
309	3108	6917
310	3110	6891
311	3112	6864
312	3115	6837
313	3117	6810
314	3119	67843315	3153	68263316	3155	67993317	3158	6773317	3196	6854
318	3198	6827
